STT,TÃƒÂªn quÃƒÂ¡n,Ã„ÂÃ¡Â»â€¹a chÃ¡Â»â€°,Ã„ÂiÃ¡Â»â€¡n thoÃ¡ÂºÂ¡i,Rating,Latitude,Longitude,Distance,IsDelivery,IsOpening,Google Maps
86,Bún Cá Hưng Phú Lộc 2,"Bờ Kè Chợ Cái Khế, Lý Hồng Thanh, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.4,10.043691,105.785523,1.333835989002841,False,True,"https://www.google.com/maps?q=10.043691,105.785523"
87,Bún Cá Hưng Phú Lộc - Cafe & Food,"A002 Khu Dân Cư Cadif, Lý Thái Tổ, P. Hưng Phú, Quận Cái Răng, Cần Thơ",Đang cập nhật,2.6,10.0199081888846,105.7863900612074,1.3572114990531456,True,True,"https://www.google.com/maps?q=10.0199081888846,105.7863900612074"
88,"Highlands Coffee - Trà, Cà Phê & Bánh - Nguyễn Văn Cừ Cần Thơ","398R Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,2.6,10.0355355,105.7572242,2.9420097961432554,True,True,"https://www.google.com/maps?q=10.0355355,105.7572242"
89,Gà Rán KFC - Vinmart - Vinatex Cần Thơ,"42 Đường 30 Tháng 4, P. An Phú, Quận Ninh Kiều, Cần Thơ",1900 6886,8.01,10.030555,105.780723,0.3657390409413742,True,True,"https://www.google.com/maps?q=10.030555,105.780723"
90,Những Chàng Trai - Cháo Ếch Singapore,"19/1 Hẻm 51, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,3.8,10.02806,105.763288,2.2871111236603427,True,True,"https://www.google.com/maps?q=10.02806,105.763288"
91,Xôi Xéo Vịt Nướng,"Khu Dân Cư 148, 158B Đường 3 Tháng 2, Hưng Lợi, Quận Ninh Kiều, Cần Thơ",01267 909 077,6.5,10.020477,105.763983,2.513030446993128,False,True,"https://www.google.com/maps?q=10.020477,105.763983"
92,Bánh Chiên Đường 3 Tháng 2 - Bánh Pateso & Bánh Mè,"Đường 3 Tháng 2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.0,10.0217259277293,105.7648374644736,2.3632778807173813,False,True,"https://www.google.com/maps?q=10.0217259277293,105.7648374644736"
93,Trà Tiên Hưởng - 10 Mậu Thân,"10 Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,4.4,10.0342157,105.7740185,1.104411404124226,True,True,"https://www.google.com/maps?q=10.0342157,105.7740185"
94,KATINAT - Cần Thơ,"119 Trần Văn Khéo, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,4.3,10.0458798,105.7855961,1.5763926591452506,True,True,"https://www.google.com/maps?q=10.0458798,105.7855961"
95,Thế Giới Pizza - 26 Tháng 3,"Đường 26 Tháng 3, P. Châu Văn Liêm, Quận Ô Môn, Cần Thơ",0938 109 490,7.3,10.109448,105.619666,19.957065896174864,False,False,"https://www.google.com/maps?q=10.109448,105.619666"
